LAV vs. CGY 2008-11-16 1200 Stade TELUS;;;
CGY;0&10;CGY45;Aaron Ifield kickoff 59 yards to the LAV6, Victor Tremblay return 21 yards to the LAV27 (Geoff Paiement).
LAV;1&10;LAV27;Benoit Groulx pass complete to Mathieu Bouvette for 80 yards to the CGY3,  (James Green).
LAV;1&3;CGY03;PENALTY LAV IP 5 yards to the CGY8.
LAV;1&8;CGY08;Guill. Allard-C rush for 3 yards to the CGY5 (Patrick Callan).
LAV;2&5;CGY05;Benoit Groulx rush for 5 yards to the CGY0, TOUCHDOWN,  13:27,
LAV;0&5;CGY05;Christ. Milo kick attempt GOOD.
;;;LAV 7, CGY 0
LAV;0&10;LAV45;Christ. Milo kickoff 59 yards to the CGY6, Anthony Parker return 16 yards to the CGY22 (Samuel Fournier).
CGY;1&10;CGY22;13:23 Deke Junior pass complete to Anthony Parker for 4 yards to the CGY26 (Mathieu Parent).
CGY;2&6;CGY26;Deke Junior rush for 2 yards to the CGY28 (O. T-Letourneau).
CGY;3&4;CGY28;Aaron Ifield punt 37 yards to the LAV45, Victor Tremblay return 37 yards to the CGY28 (Jordan Flagel).
LAV;1&10;CGY28;Sebastien Levesque rush for 9 yards to the CGY19 (Matt Grohn
LAV;2&1;CGY19;Cesar Hernandez-Sanchez rush for 3 yards to the CGY16,  (James Green
LAV;1&10;CGY16;Benoit Groulx pass complete to Mathieu Bouvette for 16 yards to the CGY0, TOUCHDOWN,  10:36,
LAV;0&5;CGY05;Christ. Milo kick attempt GOOD.
;;;LAV 14, CGY 0
LAV;0&10;LAV45;Christ. Milo kickoff 65 yards to the CGY0, Anthony Parker return 28 yards to the CGY28, out-of-bounds (Samuel Fournier).
CGY;1&10;CGY28;10:15 Matt Walter rush for -1 yard to the CGY27 (J-P. Gilbert).
CGY;2&11;CGY27;Deke Junior pass complete to Nathan Coehoorn for 7 yards to the CGY34 (Samuel Lajoie
CGY;3&4;CGY34;Aaron Ifield punt 32 yards to the LAV44, J Feoli-Gudino return 11 yards to the 55 yardline (Geoff Paiement
LAV;1&10;LAV55;Sebastien Levesque rush for 3 yards to the CGY52 (A. Bonaventura).
LAV;2&7;CGY52;Benoit Groulx pass complete to J Feoli-Gudino for 32 yards to the CGY20, out-of-bounds (Steve Truzak).
LAV;1&10;CGY20;Benoit Groulx pass complete to J Feoli-Gudino for 13 yards to the CGY7,  (A. Bonaventura
LAV;1&7;CGY07;Sebastien Levesque rush for 1 yard to the CGY6 (Chase Moore).
;;;TIMEOUT LAV,  06:44.
LAV;2&6;CGY06;Benoit Groulx pass complete to J Feoli-Gudino for 6 yards to the CGY0, TOUCHDOWN,  06:37,
LAV;0&5;CGY05;Christ. Milo kick attempt GOOD.
;;;LAV 21, CGY 0
LAV;0&10;LAV45;Christ. Milo kickoff 67 yards to the CGY-2 - ROUGE, touchback.
;;;LAV 22, CGY 0
CGY;1&10;CGY35;06:37 Deke Junior pass incomplete to KC Prince.
