CYQG;2014-01-01 00:00;CYQG 010000Z 25012KT 15SM FEW035 OVC260 M08/M13 A3026 RMK CU2CS6 /S01/ SLP259

CYQG;2014-01-01 01:00;CYQG 010100Z 27012KT 15SM FEW035 BKN130 OVC260 M08/M13 A3027 RMK SC2AC5CS2 SLP262

CYQG;2014-01-01 02:00;CYQG 010200Z 25010KT 8SM -SN OVC060 M08/M12 A3028 RMK SC8 SLP265

CYQG;2014-01-01 02:26;CYQG 010226Z 25011KT 1 1/4SM -SN OVC032 RMK SN2SC6

CYQG;2014-01-01 03:00;CYQG 010300Z 25009KT 2 1/2SM -SN OVC030 M09/M11 A3029 RMK SC8 SLP269

CYQG;2014-01-01 03:35;CYQG 010335Z 25008KT 1 1/2SM -SN OVC016 RMK SN3SC5

CYQG;2014-01-01 04:00;CYQG 010400Z 26010KT 1 1/2SM -SN OVC015 M09/M10 A3030 RMK SN3SC5 SLP274

CYQG;2014-01-01 05:00;CYQG 010500Z 26008KT 3SM -SN OVC019 M09/M10 A3032 RMK SN3SC5 SLP278

CYQG;2014-01-01 06:00;CYQG 010600Z 26005KT 6SM -SN OVC036 M09/M10 A3031 RMK SC8 /S02/ SLP277

CYQG;2014-01-01 07:00;CYQG 010700Z 29003KT 5SM -SN OVC063 M09/M10 A3031 RMK SC8 /S02/ SLP276

CYQG;2014-01-01 08:00;CYQG 010800Z 36004KT 4SM -SN OVC110 M08/M10 A3030 RMK AC8 SLP274

CYQG;2014-01-01 09:00;CYQG 010900Z 01004KT 5SM -SN OVC023 M08/M11 A3032 RMK SC8 SLP278

CYQG;2014-01-01 10:00;CYQG 011000Z 04006KT 4SM -SN OVC015 M09/M11 A3031 RMK SC8 SLP277

CYQG;2014-01-01 11:00;CYQG 011100Z 03006KT 6SM -SN FEW020 OVC062 M09/M12 A3032 RMK CF1SC8 SLP279

CYQG;2014-01-01 12:00;CYQG 011200Z 05007KT 3SM -SN OVC012 M10/M12 A3034 RMK SN2SC6 SLP288

CYQG;2014-01-01 12:30;CYQG 011230Z 05008KT 2 1/2SM -SN OVC022 RMK SN2SC6

